# HJD Ha red yellow Hb He2 blue
2453965.55829 17.22 12.34 9.32 11.15 12.96 8.50
2453965.55842 31.72 10.26 9.69 7.68 11.33 7.18
2453965.55855 19.25 8.63 7.24 8.88 6.96 6.36
2453965.55867 23.32 10.61 8.57 11.12 14.50 7.22
2453965.5588 16.13 8.66 7.74 12.21 11.16 7.15
2453965.55894 13.41 9.84 9.65 9.75 10.03 2.39
2453965.55907 12.07 8.55 7.90 7.87 7.40 6.60
2453965.55919 15.28 8.16 7.25 8.67 13.54 5.52
2453965.55932 14.25 9.19 8.60 9.00 14.31 7.49
2453965.55945 9.90 8.71 8.25 11.23 9.43 7.86
2453965.55959 18.43 7.57 9.39 7.41 12.91 6.62
2453965.55971 17.66 8.54 8.44 10.88 10.10 8.20
2453965.55984 14.43 7.43 6.59 6.59 6.31 5.40
2453965.55997 9.42 6.30 5.66 5.48 7.05 3.88
2453965.5601 11.75 8.46 7.82 8.70 9.93 5.04
2453965.56022 9.31 7.70 6.16 8.97 7.86 4.16
2453965.56035 7.54 9.72 6.82 5.40 6.58 4.38
2453965.56049 20.95 6.89 7.25 5.24 8.28 5.70
2453965.56062 15.45 8.58 6.31 7.47 10.22 5.71
2453965.56074 11.03 7.01 7.08 6.09 8.05 3.48
2453965.56087 23.40 8.64 7.36 7.66 11.64 4.69
2453965.561 13.40 7.59 5.45 5.51 6.91 3.88
2453965.56113 12.91 7.28 7.61 5.08 6.09 3.67
2453965.56125 13.55 7.66 6.32 7.64 8.25 4.91
2453965.56138 18.38 6.43 5.50 5.71 7.25 3.65
2453965.56151 10.83 8.08 6.78 5.92 5.75 4.54
2453965.56165 12.30 4.76 6.71 7.90 11.40 4.57
2453965.56177 13.22 7.38 6.55 6.31 6.79 4.11
2453965.5619 13.62 5.77 5.20 5.38 5.06 3.33
2453965.56203 13.89 7.09 5.80 8.20 7.36 4.46
2453965.56216 10.68 7.52 6.16 7.47 5.45 2.33
2453965.56228 12.31 9.32 6.68 5.47 10.34 4.10
2453965.56241 16.32 6.60 6.25 6.22 6.69 3.40
2453965.56254 14.74 6.83 5.41 7.28 6.74 4.49
2453965.56267 12.13 8.15 6.16 4.68 6.46 4.08
2453965.56283 11.01 6.50 5.36 6.71 7.52 4.43
2453965.56297 11.27 5.25 4.75 3.93 9.62 2.90
2453965.56309 14.28 7.02 4.85 6.80 6.10 2.95
2453965.56322 8.49 7.04 6.72 5.92 7.81 4.02
2453965.56335 11.44 5.90 4.43 5.46 6.03 3.11
2453965.56349 10.92 6.80 5.58 5.23 6.30 3.56
2453965.56361 15.99 7.81 5.64 6.93 4.70 3.97
2453965.56375 11.18 6.31 5.51 5.65 7.55 3.39
2453965.56388 15.91 7.44 5.56 4.64 8.47 3.53
2453965.56401 12.14 6.60 5.24 3.60 6.58 3.17
2453965.56414 9.49 6.65 4.80 4.16 7.80 4.02
2453965.56426 14.09 6.68 4.88 4.36 4.43 2.95
2453965.56439 14.10 6.37 4.89 4.72 5.88 3.41
2453965.56453 11.40 6.64 4.80 7.24 8.03 3.13
2453965.56466 9.11 4.02 3.46 3.86 4.58 2.30
2453965.56478 11.22 4.57 5.12 4.16 9.76 3.26
2453965.56491 13.21 5.55 4.48 4.92 8.16 2.59
2453965.56504 10.46 4.62 5.35 4.86 7.04 2.41
2453965.56518 14.93 4.61 3.79 4.41 4.14 0.54
2453965.5653 9.14 5.34 5.22 4.25 6.39 2.71
2453965.56543 7.98 4.72 4.08 4.09 5.44 1.99
2453965.56556 13.15 5.60 3.96 3.78 5.45 2.35
2453965.56569 13.94 4.64 4.17 5.34 6.44 2.39
2453965.56585 10.13 4.22 3.64 5.39 3.86 2.04
2453965.56598 18.73 6.04 4.94 4.94 5.90 2.54
2453965.5661 10.21 4.87 3.48 3.86 5.36 2.13
2453965.56623 10.60 5.38 3.49 1.89 5.16 2.12
2453965.56636 14.60 1.47 4.37 4.41 5.79 0.42
2453965.56648 11.99 5.71 3.78 4.94 6.74 2.51
2453965.56661 5.85 3.97 3.47 2.99 3.23 1.58
2453965.56674 10.16 4.83 4.28 4.56 5.63 2.81
2453965.56687 10.66 4.20 4.02 4.70 4.74 2.11
2453965.56701 9.69 3.86 3.26 2.96 2.78 1.81
2453965.56713 12.53 4.45 3.81 4.65 4.88 1.54
2453965.56727 10.36 5.22 3.91 4.02 5.88 2.38
2453965.5674 10.08 5.17 1.29 4.63 5.90 2.10
2453965.56753 10.48 4.20 2.97 3.71 6.02 2.09
2453965.56765 10.74 5.25 3.79 5.23 4.95 2.22
2453965.56779 12.01 4.48 3.53 3.89 5.43 1.87
2453965.56792 11.72 4.39 3.46 3.56 5.84 2.27
2453965.56805 11.79 4.85 4.31 4.98 4.49 2.25
2453965.56817 12.05 4.93 4.51 3.15 4.18 2.02
2453965.5683 9.71 3.95 3.34 3.18 2.99 2.01
2453965.56843 11.71 4.64 3.53 4.18 5.16 2.22
2453965.56856 12.75 3.45 2.03 3.48 4.43 1.60
2453965.56868 10.44 4.52 3.23 4.36 6.52 1.61
2453965.56881 10.20 4.58 4.02 2.39 8.66 2.37
2453965.56894 10.23 4.68 3.39 4.60 3.73 2.22
2453965.56907 9.43 4.93 4.15 3.88 4.38 2.38
2453965.5692 10.38 4.82 3.66 4.28 3.30 2.10
2453965.56933 8.17 4.14 3.86 4.07 5.78 2.14
2453965.56946 14.43 6.12 4.39 5.62 4.74 2.70
2453965.56959 11.02 4.70 3.83 6.84 5.18 2.16
2453965.56971 11.26 5.38 4.43 4.03 3.91 2.88
2453965.56984 11.73 5.25 3.92 4.11 7.36 2.16
2453965.56997 14.39 5.46 1.68 3.92 5.07 2.95
2453965.5701 10.61 5.37 3.91 5.51 5.29 2.67
2453965.57022 12.70 5.26 4.38 4.82 5.00 2.62
2453965.57035 7.52 6.12 4.03 3.51 3.19 2.26
2453965.57049 11.45 5.33 4.38 4.63 6.16 2.79
2453965.57062 10.13 5.22 3.78 3.95 4.30 2.61
2453965.57074 8.50 6.66 4.59 4.71 8.14 3.67
2453965.57087 13.10 4.68 4.11 4.02 7.11 2.08
2453965.571 12.80 6.12 5.01 4.71 8.10 3.15
2453965.57114 9.39 5.55 5.15 5.22 4.60 3.29
2453965.57126 15.04 6.00 4.59 4.79 6.76 3.58
2453965.57139 15.31 6.88 4.50 7.01 7.29 2.76
2453965.57152 11.29 4.88 3.49 3.65 5.26 2.45
2453965.57166 10.58 5.50 5.42 4.20 4.91 2.93
2453965.57179 10.63 6.03 4.54 5.75 5.43 3.62
2453965.57191 8.82 5.69 4.58 5.76 4.62 3.29
2453965.57204 10.95 6.01 4.85 4.01 6.94 3.68
2453965.57217 10.67 5.32 3.95 4.28 4.04 2.67
2453965.57229 11.46 6.54 4.72 4.42 5.00 3.12
2453965.57242 18.86 5.63 4.76 4.41 7.22 3.09
2453965.57255 8.97 5.27 4.33 4.80 3.91 2.80
2453965.57269 10.08 5.91 3.73 5.37 5.59 2.83
2453965.57282 11.12 5.66 5.30 2.80 5.28 3.58
2453965.57294 15.28 6.35 5.78 4.41 6.44 4.27
2453965.57307 12.42 6.48 4.99 6.19 6.41 3.18
2453965.5732 15.14 7.41 5.39 6.56 8.37 3.68
2453965.57332 13.63 4.35 3.56 3.96 5.46 2.23
2453965.57345 12.06 6.53 5.41 7.53 6.13 3.98
2453965.57358 11.38 6.35 5.85 7.80 6.00 4.42
2453965.57371 15.26 7.73 4.86 5.51 7.25 3.60
2453965.57383 12.35 6.00 5.07 5.91 7.59 3.56
2453965.57397 11.84 5.76 5.13 6.47 5.51 3.86
2453965.57409 11.72 5.67 4.75 6.67 5.91 3.84
2453965.57423 14.84 7.32 4.35 5.11 5.75 3.53
2453965.57435 10.46 5.85 4.78 4.52 7.21 3.69
2453965.57448 14.74 6.09 4.84 5.24 7.18 4.24
2453965.57461 8.65 6.03 5.08 7.93 7.26 3.77
2453965.57475 14.09 5.78 5.46 5.11 6.42 3.27
2453965.57488 15.04 6.22 5.67 5.97 8.24 3.93
2453965.575 12.33 6.60 6.53 6.03 9.76 3.94
2453965.57513 10.00 7.16 4.91 4.71 5.27 3.79
2453965.57526 18.37 6.00 5.68 5.62 9.87 4.09
2453965.57538 8.96 4.98 5.14 5.42 6.92 3.33
2453965.57551 9.43 6.17 5.38 6.52 7.66 3.84
2453965.57564 12.30 5.61 5.07 6.08 7.39 3.11
2453965.57577 7.79 5.79 5.52 5.00 4.61 3.56
2453965.57589 9.94 5.85 4.96 4.35 5.56 0.54
2453965.57602 12.91 6.47 4.53 6.51 11.42 3.68
2453965.57615 14.94 6.21 5.27 4.03 8.26 4.06
2453965.57629 14.35 7.82 7.51 7.33 7.96 5.28
2453965.57641 15.75 6.98 6.13 7.75 8.01 5.58
2453965.57654 19.96 6.86 5.79 6.48 6.72 4.05
2453965.57667 12.36 6.04 5.78 3.79 7.32 3.06
2453965.5768 13.07 6.86 5.83 6.49 9.42 3.31
2453965.57692 13.27 6.56 5.82 5.39 7.38 4.37
2453965.57705 11.61 6.08 5.26 5.77 5.26 3.62
2453965.57718 11.85 6.39 6.24 7.81 7.35 4.94
2453965.57731 12.94 6.11 5.36 7.27 9.58 4.34
2453965.57744 14.02 6.53 5.32 5.25 7.79 4.09
2453965.57757 12.20 6.91 6.16 6.22 7.99 3.97
2453965.5777 9.08 7.03 5.98 5.67 9.51 4.14
2453965.57784 16.58 5.95 4.61 4.93 5.22 3.69
2453965.57797 10.29 6.07 5.45 4.87 11.37 4.05
2453965.57809 14.77 6.67 4.97 8.70 11.35 3.83
2453965.57822 9.88 5.95 4.38 5.99 7.88 3.20
2453965.57835 10.61 5.00 5.03 6.64 7.74 3.82
2453965.57848 13.80 6.60 5.81 6.25 6.29 4.15
2453965.5786 18.44 9.23 8.19 7.57 15.15 4.96
2453965.57873 14.82 8.85 6.90 6.48 10.47 4.91
2453965.57886 16.35 8.04 6.64 7.84 9.30 5.32
2453965.579 9.56 7.45 2.93 7.61 9.91 4.33
2453965.57912 14.50 8.59 7.89 7.80 9.73 6.90
