# HJD Ha red yellow Hb He2 blue
2453965.56062 15.59 8.69 6.41 7.52 10.05 5.42
2453965.56074 11.11 7.00 7.33 6.17 7.89 3.37
2453965.56087 23.72 8.72 7.53 7.54 11.46 4.52
2453965.561 13.49 7.64 5.56 5.50 6.79 3.71
2453965.56113 12.99 7.28 7.44 5.13 6.03 3.67
2453965.56125 13.77 7.55 6.50 7.71 8.09 4.84
2453965.56138 18.51 6.47 5.45 5.62 7.15 3.60
2453965.56151 10.87 8.08 6.87 5.85 5.68 4.58
2453965.56165 12.46 4.79 6.84 7.95 11.32 4.51
2453965.56177 13.29 7.44 6.69 6.41 6.69 4.14
2453965.5619 13.64 5.81 5.18 5.39 5.03 3.23
2453965.56203 14.03 7.22 5.99 8.17 7.26 4.47
2453965.56216 10.76 7.54 6.34 7.47 5.41 2.33
2453965.56228 12.30 9.45 6.86 5.55 10.26 4.03
2453965.56241 16.60 6.70 6.29 6.14 6.66 3.39
2453965.56254 14.86 6.76 5.55 7.36 6.61 4.33
2453965.56267 12.22 8.33 6.13 4.71 6.36 3.99
2453965.56283 11.05 6.62 5.43 6.78 7.36 4.28
2453965.56297 11.30 5.28 4.89 3.95 9.63 2.91
2453965.56309 14.41 7.16 4.97 6.90 6.03 2.95
2453965.56322 8.53 7.14 6.72 5.97 7.68 4.12
2453965.56335 11.59 5.95 4.54 5.45 5.99 3.06
2453965.56349 11.04 6.85 5.67 5.24 6.17 3.52
2453965.56361 15.92 8.00 5.72 6.91 4.65 3.94
2453965.56375 11.18 6.31 5.57 5.65 7.39 3.32
2453965.56388 16.03 7.58 5.60 4.64 8.27 3.50
2453965.56401 12.14 6.69 5.30 3.63 6.52 3.23
2453965.56414 9.49 6.59 4.84 4.18 7.75 3.92
2453965.56426 14.08 6.73 4.92 4.35 4.40 2.94
2453965.56439 14.07 6.36 4.95 4.77 5.80 3.48
2453965.56453 11.49 6.65 4.84 7.33 7.95 3.18
2453965.56466 9.14 3.97 3.48 3.90 4.55 2.27
2453965.56478 11.33 4.59 5.13 4.20 9.74 3.16
2453965.56491 13.29 5.48 4.52 4.97 8.10 2.62
2453965.56504 10.48 4.65 5.51 4.89 6.97 2.41
2453965.56518 15.09 4.65 3.78 4.42 4.12 0.54
2453965.5653 9.15 5.33 5.18 4.25 6.35 2.74
2453965.56543 7.99 4.69 4.08 4.14 5.40 2.01
2453965.56556 13.10 5.62 4.02 3.79 5.45 2.33
2453965.56569 13.94 4.66 4.19 5.37 6.34 2.44
2453965.56585 10.18 4.30 3.68 5.42 3.82 2.05
2453965.56598 18.91 5.98 5.06 5.03 5.97 2.58
2453965.5661 10.23 4.90 3.51 3.86 5.38 2.13
2453965.56623 10.57 5.44 3.51 1.89 5.12 2.11
2453965.56636 14.72 1.47 4.37 4.41 5.78 0.40
2453965.56648 12.12 5.73 3.85 4.97 6.69 2.51
2453965.56661 5.85 3.98 3.50 3.01 3.22 1.58
2453965.56674 10.10 4.85 4.34 4.59 5.60 2.85
2453965.56687 10.69 4.21 3.98 4.73 4.76 2.13
2453965.56701 9.66 3.88 3.28 2.96 2.78 1.81
2453965.56713 12.58 4.44 3.80 4.72 4.88 1.59
2453965.56727 10.44 5.18 3.96 4.06 5.87 2.43
2453965.5674 10.15 5.14 1.28 4.69 6.00 2.11
2453965.56753 10.50 4.19 2.99 3.74 6.05 2.08
2453965.56765 10.78 5.22 3.80 5.24 4.95 2.25
2453965.56779 12.01 4.47 3.57 3.90 5.45 1.86
2453965.56792 11.78 4.34 3.44 3.56 5.88 2.26
2453965.56805 11.76 4.89 4.34 4.97 4.51 2.28
2453965.56817 12.16 4.97 4.47 3.18 4.20 2.03
2453965.5683 9.80 3.96 3.35 3.19 2.99 1.99
2453965.56843 11.71 4.66 3.54 4.18 5.22 2.21
2453965.56856 12.65 3.45 2.04 3.49 4.49 1.59
2453965.56868 10.49 4.48 3.26 4.33 6.49 1.63
2453965.56881 10.23 4.55 4.09 2.39 8.74 2.39
2453965.56894 10.34 4.73 3.45 4.63 3.76 2.24
2453965.56907 9.38 4.98 4.15 3.91 4.38 2.43
2453965.5692 10.44 4.81 3.62 4.32 3.31 2.14
2453965.56933 8.12 4.14 3.88 4.09 5.83 2.14
2453965.56946 14.52 6.14 4.40 5.66 4.77 2.66
2453965.56959 10.97 4.68 3.86 6.86 5.19 2.18
2453965.56971 11.27 5.36 4.46 4.03 3.91 2.91
2453965.56984 11.62 5.31 3.94 4.13 7.38 2.15
2453965.56997 14.45 5.44 1.69 3.95 5.06 2.97
2453965.5701 10.58 5.34 3.99 5.58 5.34 2.62
2453965.57022 12.63 5.26 4.54 4.91 5.02 2.62
2453965.57035 7.49 6.05 4.12 3.55 3.20 2.23
2453965.57049 11.40 5.38 4.44 4.64 6.23 2.77
2453965.57062 10.02 5.16 3.78 3.97 4.34 2.62
2453965.57074 8.48 6.66 4.67 4.77 8.26 3.63
2453965.57087 13.02 4.67 4.13 4.05 7.20 2.09
2453965.571 12.89 6.17 5.11 4.76 8.15 3.08
2453965.57114 9.45 5.61 5.22 5.25 4.65 3.38
2453965.57126 15.29 5.98 4.64 4.84 6.83 3.53
2453965.57139 15.32 6.83 4.49 6.89 7.29 2.75
2453965.57152 11.30 4.89 3.50 3.69 5.31 2.43
2453965.57166 10.43 5.55 5.45 4.23 4.95 2.88
2453965.57179 10.55 6.13 4.59 5.79 5.44 3.56
2453965.57191 8.83 5.67 4.58 5.84 4.64 3.28
2453965.57204 10.94 5.91 4.89 4.02 7.04 3.71
2453965.57217 10.59 5.38 3.93 4.30 4.06 2.64
2453965.57229 11.33 6.42 4.79 4.44 5.07 3.13
2453965.57242 18.57 5.70 4.79 4.43 7.31 3.08
2453965.57255 9.01 5.32 4.38 4.81 3.90 2.77
